name,damage,stun,meter
5弱P,0,0,0
5中P,0,0,0
5強P,0,0,0
5弱K,0,0,0
5中K,0,0,0
5強K,0,0,0
2弱P,0,0,0
2中P,0,0,0
2強P,0,0,0
2弱K,0,0,0
2中K,0,0,0
2強K,0,0,0
J弱P,0,0,0
J中P,0,0,0
J強P,0,0,0
J弱K,0,0,0
J中K,0,0,0
J強K,0,0,0
6中P,0,0,0
6強P,0,0,0
4強K,0,0,0
中PTC,0,0,0
強PTC,0,0,0
強PTC2,0,0,0
前投げ,0,0,0
後投げ,0,0,0
VT,0,0,0
VS,0,0,0
VR,0,0,0
波動拳 弱,0,0,0
波動拳 中,0,0,0
波動拳 強,0,0,0
波動拳 EX,0,0,1
昇龍拳 弱,0,0,0
昇龍拳 中,0,0,0
昇龍拳 強,0,0,0
昇龍拳 EX,0,0,1
竜巻旋風脚 弱,0,0,0
竜巻旋風脚 中,0,0,0
竜巻旋風脚 強,0,0,0
竜巻旋風脚 EX,0,0,1
空中竜巻旋風脚 弱,0,0,0
空中竜巻旋風脚 中,0,0,0
空中竜巻旋風脚 強,0,0,0
空中竜巻旋風脚 EX,0,0,1
CA,0,0,3
5弱P(VT),0,0,0
5中P(VT),0,0,0
5強P(VT),0,0,0
2弱P(VT),0,0,0
2中P(VT),0,0,0
2強P(VT),0,0,0
J弱P(VT),0,0,0
J中P(VT),0,0,0
J強P(VT),0,0,0
6中P(VT),0,0,0
6強P(VT),0,0,0
中PTC(VT),0,0,0
強PTC(VT),0,0,0
強PTC2(VT),0,0,0
波動拳(VT) 弱,0,0,0
波動拳(VT) 中,0,0,0
波動拳(VT) 強,0,0,0
波動拳(VT) EX,0,0,1
波動拳(VT)(HOLD),0,0,0
波動拳(VT) EX(HOLD),0,0,1
昇龍拳(VT) 弱,0,0,0
昇龍拳(VT) 中,0,0,0
昇龍拳(VT) 強,0,0,0
昇龍拳(VT) EX,0,0,1
CA2,0,0,3
