name,damage,stun,meter
5弱P,0,0,0
5中P,0,0,0
5強P,0,0,0
5弱K,0,0,0
5中K,0,0,0
5強K,0,0,0
2弱P,0,0,0
2中P,0,0,0
2強P,0,0,0
2弱K,0,0,0
2中K,0,0,0
2強K,0,0,0
J弱P,0,0,0
J中P,0,0,0
J強P,0,0,0
J弱K,0,0,0
J中K,0,0,0
前J強K,0,0,0
後J強K,0,0,0
垂直J強K,0,0,0
4or6中P,0,0,0
4強P,0,0,0
3中K,0,0,0
4強K,0,0,0
6強K,0,0,0
3強K,0,0,0
J3中K,0,0,0
三角跳び,0,0,0
前投げ,0,0,0
後投げ,0,0,0
空投げ,0,0,0
VT,0,0,0
VS,0,0,0
VR,0,0,0
気功拳 弱,0,0,0
気功拳 中,0,0,0
気功拳 強,0,0,0
気功拳 EX,0,0,1
百裂脚 弱,0,0,0
百裂脚 中,0,0,0
百裂脚 強,0,0,0
百裂脚 EX,0,0,1
空中百裂脚 弱,0,0,0
空中百裂脚 中,0,0,0
空中百裂脚 強,0,0,0
空中百裂脚 EX,0,0,1
スピニングバードキック 弱,0,0,0
スピニングバードキック 中,0,0,0
スピニングバードキック 強,0,0,0
スピニングバードキック EX,0,0,1
CA,0,0,3
5弱P(VT),0,0,0
5中P(VT),0,0,0
5強P(VT),0,0,0
5弱K(VT),0,0,0
5中K(VT),0,0,0
5強K(VT),0,0,0
2弱P(VT),0,0,0
2中P(VT),0,0,0
2強P(VT),0,0,0
2弱K(VT),0,0,0
2中K(VT),0,0,0
2強K(VT),0,0,0
J弱P(VT),0,0,0
J中P(VT),0,0,0
J強P(VT),0,0,0
J弱K(VT),0,0,0
J中K(VT),0,0,0
前J強K(VT),0,0,0
後J強K(VT),0,0,0
垂直J強K(VT),0,0,0
4or6P(VT),0,0,0
4強P(VT),0,0,0
3中K(VT),0,0,0
4強K(VT),0,0,0
6強K(VT),0,0,0
3強K(VT),0,0,0
VS(VT),0,0,0
気功拳(VT) 弱P,0,0,0
気功拳(VT) 中P,0,0,0
気功拳(VT) 強P,0,0,0
気功拳(VT) EX,0,0,1
百裂脚(VT) 弱K,0,0,0
百裂脚(VT) 中K,0,0,0
百裂脚(VT) 強K,0,0,0
百裂脚(VT) EX,0,0,1
空中百裂脚(VT) 弱,0,0,0
空中百裂脚(VT) 中,0,0,0
空中百裂脚(VT) 強,0,0,0
空中百裂脚(VT) EX,0,0,1
スピニングバードキック(VT) 弱,0,0,0
スピニングバードキック(VT) 中,0,0,0
スピニングバードキック(VT) 強,0,0,0
スピニングバードキック(VT) EX,0,0,1
CA(VT),0,0,3
