name,damage,stun,meter
5弱P,0,0,0
5中P,0,0,0
5強P,0,0,0
5弱K,0,0,0
5中K,0,0,0
5強K,0,0,0
2弱P,0,0,0
2中P,0,0,0
2強P,0,0,0
2弱K,0,0,0
2中K,0,0,0
2強K,0,0,0
J弱P,0,0,0
J中P,0,0,0
J強P,0,0,0
J弱K,0,0,0
J中K,0,0,0
J強K,0,0,0
J2中K,0,0,0
6中K,0,0,0
4強K,0,0,0
フロストスパイク(2段止め),0,0,0
フロストスパイク,0,0,0
ホワイトアウト(2段止め),0,0,0
ホワイトアウト,0,0,0
前投げ,0,0,0
後投げ,0,0,0
空投げ,0,0,0
VT,0,0,0
VT(VT中),0,0,0
VS,0,0,0
VR,0,0,0
フロストタッチ 弱,0,0,0
フロストタッチ 中,0,0,0
フロストタッチ 強,0,0,0
フロストタッチ EX弱,0,0,1
フロストタッチ EX中,0,0,1
フロストタッチ EX強,0,0,1
パラベラム 弱,0,0,0
パラベラム 中,0,0,0
パラベラム 強,0,0,0
パラベラム EX,0,0,1
バニティステップ 弱,0,0,0
シルバーエッジ,0,0,0
バニティステップ 中,0,0,0
コールドロー,0,0,0
ブライニクル,0,0,0
スノウグレーン,0,0,0
バニティステップ 強,0,0,0
ホワイトスピア,0,0,0
バニティステップ EX弱,0,0,1
シルバーエッジ EX,0,0,0
バニティステップ EX中,0,0,1
バニティステップ EX強,0,0,1
ヘイルストーム 弱,0,0,0
ヘイルストーム 中,0,0,0
ヘイルストーム 強,0,0,0
ヘイルストーム EX弱,0,0,1
ヘイルストーム EX中,0,0,1
ヘイルストーム EX強,0,0,1
CA,0,0,3
前ダッシュ,0,0,0
後ダッシュ,0,0,0
VT2,0,0,0
フロストエッジ,0,0,0
リバースジャベリン,0,0,0
