name,damage,stun,meter
5弱P,30,70,0
5中P,60,100,0
5強P,90,150,0
5弱K,30,70,0
5中K,60,100,0
5強K,80,150,0
2弱P,30,70,0
2中P,60,100,0
2強P,100,150,0
2弱K,20,70,0
2中K,50,100,0
2強K,90,150,0
J弱P,40,70,0
J中P,50,100,0
J強P,90,150,0
J弱K,40,70,0
J中K,60,100,0
J強K,90,150,0
中PTC(J中),70,50,0
3強P,80,150,0
中PTC,50,120,0
前投げ,110,120,0
後投げ,140,170,0
VT,0,0,0
VS,0,0,0
VS(射出),0,0,0
VR,60,0,0
サイコブラスト 弱P,70,100,0
サイコブラスト 中P,70,100,0
サイコブラスト 強P,70,100,0
サイコブラスト EX,100,150,1
ダブルニープレス 弱K,80,150,0
ダブルニープレス 中K,90,150,0
ダブルニープレス 強K,100,150,0
ダブルニープレス EX,150,200,1
ヘッドプレス 弱K,100,200,0
ヘッドプレス 中K,100,200,0
ヘッドプレス 強K,100,200,0
ヘッドプレス EX,160,200,1
サマーソルトスカルダイバー,70,100,0
デビルリバース,70,100,0
デビルリバース EX,0,0,1
サイコインフェルノ 弱P,80,150,0
サイコインフェルノ 中P,90,150,0
サイコインフェルノ 強P,100,150,0
サイコインフェルノ EX,140,150,1
CA,340,0,3
